Brewery_Name,Overall_review,Aroma_review,Appearance_review,Beer_type,Review_taste,Beer_name,Beer_abv
Odonata Beer Company,5,4.5,3.5,American Wild Ale,5,Rosa,5.7
Odonata Beer Company,4,4,4.5,American Wild Ale,4.5,Beersel #1,
Lunar Brewing,4.5,4.5,4.5,American Double / Imperial IPA,5,Batch 500,10.5
Lunar Brewing,4,4.5,4,American Double / Imperial IPA,4,Barrel-aged Batch 500,12.5
Lunar Brewing,4.5,5,4,American Barleywine,4.5,Barely Wine,
Lunar Brewing,4.5,4.5,5,Russian Imperial Stout,5,Kosmonaut Stout,9
Gasthaus-Brauerei Braustelle,4,4,3.5,American Double / Imperial Stout,4,Freigeist Caulfield - Not Just Plain Vanilla,10
Gasthaus-Brauerei Braustelle,4,4.5,2.5,American Double / Imperial Stout,4.5,Freigeist Caulfield,10
St. Elias Brewing Company,4,4.5,4,American Barleywine,4.5,Moose Juice Barleywine,9.6
Tun Tavern,4,4,4,Quadrupel (Quad),3.5,Quadruple,10
Tun Tavern,4,4.5,3.5,American Barleywine,4.5,Freedom Ale,9
HopCat,5,4,4,American Double / Imperial IPA,4.5,HopCat Raging Centaur,8.3
HopCat,4.5,4,4,American Double / Imperial Stout,4.5,HopCat Oil Rigger,10.5
HopCat,4.5,4,4,American Double / Imperial Stout,4.5,HopCat Vanilla Bourbon Oil Rigger,10.5
HopCat,4.5,4,4,American Barleywine,4,HopCat Barley Wine,11.5
HopCat,4,4,4,American Double / Imperial IPA,4,HopCat Big D.I.P.A.,8.7
HopCat,4.5,4,4.5,American Double / Imperial Stout,4,HopCat Dictator,
HopCat,4.5,4,4,American Double / Imperial Stout,4.5,HopCat Espresso Oil Rigger,10.5
Witch's Hat Brewing Co.,4.5,4,4.5,American Barleywine,4,Holy Confusion Barley Wine,10.2
Kutztown Tavern,4,3.5,4,American Barleywine,4,Anniversary Barleywine,10
Granite City Food & Brewery,4,4,4.5,Russian Imperial Stout,4.5,Imperial Pig Stout,
Mogollon Brewing Company,4.5,4,3.5,American Double / Imperial Stout,4,Mogollon Millennium Ale 2000,8
Otway Estate Winery & Brewery,4,4,4,American Black Ale,3.5,Prickly Moses Black Panther IBA,6.2
Sunday River Brewing Co.,4.5,3,4,American Double / Imperial IPA,4,840 India Pale Ale,8.5
Lonerider Brewing,4.5,4.5,4.5,American Black Ale,4.5,Grave Robber,7.6
Maihama Beer Koubou Harvestmoon Brewery At Roti's House,4,4,4,American Barleywine,4,7th Anniversary,8
Maihama Beer Koubou Harvestmoon Brewery At Roti's House,4,4.5,4,American Double / Imperial Stout,4,Ikspari Extra Stout,6
Hangtown Brewery,4,4,5,American Double / Imperial Stout,4,Hangtown Vanilla Stout,7.2
Market Cross Pub & Brewery,4,4,4,American Double / Imperial IPA,4,Olde Yeller IPA,7.2
Dave's BrewFarm,4.5,4,3.5,Belgian IPA,4.5,Sinistra,8
Dave's BrewFarm,4.5,4.5,4.5,Belgian IPA,4.5,Svengali,10
District ChopHouse & Brewery,4,3.5,3.5,Weizenbock,4.5,Dunkel Weizenbock,6.7
Three Creeks Brewing Co.,4,4,4,American Black Ale,4.5,8 Second IBA,6.6
Baltimore Brewing Company,4,4.5,4.5,Weizenbock,4.5,DeGroen's Weizenbock,6.9
Baltimore Brewing Company,4,4,4,Weizenbock,4,DeGroen's Edel Weiss,7.7
CB's Brewing Company,4,4,4,Baltic Porter,4,CB's Krysztoff,10
CB's Brewing Company,4.5,5,4.5,American Double / Imperial IPA,4,The Old Toad 20th Aniversery IPA (OT 20),8.6
Roosterfish Brewing Co.,4,4.5,3.5,American Double / Imperial Stout,4.5,Imperial Coffee Stout,8
Cerveceria Artesanal El Bolson,4,2.5,3,Foreign / Export Stout,2,Cerveza Negra Extra,6.2
Starr Hill Brewery,4,4,3.5,Flanders Red Ale,4.5,Franklin's Sour,
Starr Hill Brewery,4,3.5,4,American Double / Imperial Stout,3.5,Cryptical Imperial Stout,7.52
Starr Hill Brewery,4.5,3.5,4.5,American Black Ale,4,Brew Ridge Trail Collaboration Ale,6.9
Great Divide Brewing Company,4,4,3.5,Russian Imperial Stout,4,Maverick Imperial Stout,9.5
Great Divide Brewing Company,4.5,5,4,American Double / Imperial IPA,4.5,Colorado Fresh Hop Double IPA,10
Great Divide Brewing Company,4,4,4,American Barleywine,3.5,Barrel Aged Old Ruffian,12.7
Great Divide Brewing Company,5,5,4.5,Belgian IPA,4.5,Messiah,
Great Divide Brewing Company,5,4,4.5,Flanders Red Ale,4,Sour Brown Ale,8
Great Divide Brewing Company,4.5,4.5,4,American Wild Ale,4.5,Stranahan's Barrel Aged Sour Hades,8
Great Divide Brewing Company,4,4,4,American Double / Imperial IPA,4,Oaked Aged Hercules Double IPA,9.1
Great Divide Brewing Company,4,4,4.5,American Barleywine,4,Oak Aged Old Ruffian Barley Wine,10.2
Great Divide Brewing Company,4.5,4.5,4,Russian Imperial Stout,4.5,Barrel Aged Yeti,12.2
Great Divide Brewing Company,4,3.5,4,Belgian IPA,4.5,Belgica,7.2
Great Divide Brewing Company,4,3.5,4,American Double / Imperial IPA,3.5,Dry Hopped Double IPA,
Brouwerij Van Steenberge N.V.,4,4.5,4.5,Belgian IPA,4.5,Piraat Ale,10.5
Great Divide Brewing Company,4,4.5,4,American Double / Imperial Stout,4,Chocolate Oak Aged Yeti,9.5
Great Divide Brewing Company,4.5,4.5,5,American Double / Imperial IPA,4,17th Anniversary Wood Aged Double IPA,10
Brouwerij Mort Subite,4,4,4,Gueuze,4,Mort Subite Gueuze,4.5
Great Divide Brewing Company,4.5,4.5,3.5,Russian Imperial Stout,4.5,Heart Of Darkness,
Great Divide Brewing Company,4,3.5,4,American Double / Imperial Stout,3.5,Cocoa Yeti,
Brouwerij Mort Subite,5,5,5,Gueuze,5,Eylenbosch Gueuze,5
Brouwerij Mort Subite,4,4,4.5,Lambic - Unblended,4,Mort Subite Oude Lambik,
Black Husky Brewing,4.5,4.5,4.5,American Double / Imperial IPA,4,Sproose Joose Double IPA,
Southampton Publick House,4,2.5,4.5,Belgian IPA,4,Southampton Trappist IPA,7.1
Southampton Publick House,4,4,4,American Wild Ale,4,Southampton Hommage,
Southampton Publick House,4.5,4,3,Baltic Porter,4,Southampton Imperial Baltic Porter,7.5
Southampton Publick House,4.5,4,4,American Barleywine,4.5,Old Herb Barleywine,11
Southampton Publick House,4.5,4,4,American Double / Imperial IPA,4,NYDP's Finest,
Southampton Publick House,5,5,4.5,Flanders Red Ale,5,Southampton Belgian Red Ale,
Southampton Publick House,4.5,3.5,3.5,Belgian IPA,4.5,Southampton Belgian IPA,6.8
Southampton Publick House,4.5,4,4,Foreign / Export Stout,4,Southampton Foreign Extra Stout,6.2
Brouwerij 't Gaverhopke,4,4,4,Belgian IPA,4,'t Gaverhopke / Tired Hands Bitter Sweet Symphony,7.8
Market Garden Brewery,4,4.5,4,American Double / Imperial IPA,4,Market Centennial Extra IPA,8
Twain's Billiards and Tap,4,4,4.5,American Double / Imperial Stout,4,Twain's Three Lies Imperial Stout,6.9
Flying Dog Brewery,4,3.5,3,Belgian IPA,4,Raging Bitch Belgian-Style IPA,8.3
High Point Brewing Company,4,4.5,4,Weizenbock,4,Ramstein Winter Wheat,9.5
Brouwerij Van Steenberge N.V.,4,4.5,4,Quadrupel (Quad),4,Gulden Draak Quad,11.3
Brouwerij Van Steenberge N.V.,4,3,4,Belgian IPA,4,Over The Edge,9.5
Brauerei Blauer Löwe,4.5,4,4,Weizenbock,3.5,Weissbier-Bock,7.2
Flying Bison Brewing Company,4.5,4,4,American Double / Imperial IPA,4,Double Bird Of Prey IPA,8.25
Ellicottville Brewing Co.,4,4,4,Baltic Porter,4,Ellicottville Porter,7.3
Twain's Billiards and Tap,4,3.5,4,American Double / Imperial Stout,4,Twain's Impy Stout,6.9
Steffans Aldergrove Brewery,4,4,4,American Barleywine,4,Auld Persnickety Barleywine Ale,10.5
Garrison Brewing Company,4,4,4,Baltic Porter,4,Grand Baltic Porter,9
Etna Brewery,4.5,4,4,American Barleywine,4,Backwoods Barley Wine,11
Mystic Brewery,4,4,4,American Barleywine,4.5,Mystic Entropy,18
High Point Brewing Company,5,4,4,Eisbock,4.5,Ramstein Winter Wheat Eisbock,11.5
New England Brewing Co.,4,3.5,4,Russian Imperial Stout,3.5,Imperial Stout Trooper,9.2
Flying Dog Brewery,4,3.5,4,American Double / Imperial IPA,4,Double Dog Double Pale Ale,11.5
Brasserie Dieu Du Ciel,4,4.5,3.5,Quadrupel (Quad),3.5,Rigor Mortis ABT,10.5
Brasserie Dieu Du Ciel,4.5,4.5,4,American Wild Ale,4.5,Otsukaresama Bi-Ru,6
New England Brewing Co.,4.5,4,4,American Double / Imperial IPA,4.5,Gandhi-Bot Double IPA,8.8
Brasserie Dieu Du Ciel,4,4.5,4,American Barleywine,4,Solstice D'hiver,9.8
Brasserie Dieu Du Ciel,4,4.5,4,American Barleywine,4,Solstice D'hiver Réserve Spéciale (Vieillie En Fût De Chêne),10.8
Brasserie Dieu Du Ciel,4.5,3.5,5,American Barleywine,4.5,Quintessence,10.5
Brasserie Dieu Du Ciel,4,4.5,4,Russian Imperial Stout,4.5,Grande Noirceur,8.5
Brasserie Dieu Du Ciel,4.5,4,4,American Black Ale,4,Penombre,6
Brasserie Dieu Du Ciel,4,4,4.5,American Double / Imperial Stout,4.5,Péché Mortel Édition Spéciale Montréal,10
Brasserie Dieu Du Ciel,4,4.5,4,American Double / Imperial Stout,3.5,Péché Mortel (Bourbon Barrel),9.5
Lander Brewing Company,4.5,4,4.5,Foreign / Export Stout,4.5,Stage Driver Stout,
Emmett's Brewing Company,4,4.5,4,American Barleywine,4.5,Barrel Aged Barleywine,10
Emmett's Brewing Company,4,4,4,American Double / Imperial IPA,4,Hop Clobber Imperial IPA,9
The Farmers' Cabinet,4,4.5,3.5,American Wild Ale,4,Hawbaker's Sour Quad,
BJ's Restaurant & Brewhouse,4,4,4,American Barleywine,4,Goliath Red,9.1
BJ's Restaurant & Brewhouse,4,4.5,4.5,American Double / Imperial Stout,4.5,Jennifer,10.3
BJ's Restaurant & Brewhouse,4,3.5,4,American Double / Imperial IPA,4,Jezebel IPA,9.5
Max Lager's American Grill & Brewery,4,3.5,3.5,American Double / Imperial Stout,4,Max Imperial Mocha Oatmeal Stout,
Max Lager's American Grill & Brewery,4.5,4,4,American Black Ale,4,Max North Shore,6
Barley Brown's Brewpub,4,4,4,American Barleywine,4,Sled Wreck Winter Ale,10.5
Barley Brown's Brewpub,5,4.5,4.5,American Black Ale,5,Chaos,
Barley Brown's Brewpub,4,4,3.5,American Double / Imperial IPA,4,WFO IPA,7.6
Barley Brown's Brewpub,4,4,4,Foreign / Export Stout,4,Oompa Nooga,7.1
Barley Brown's Brewpub,4.5,5,4.5,American Black Ale,5,Wooden Chaos,
Barley Brown's Brewpub,5,5,5,American Double / Imperial IPA,5,Tank Slapper DIPA,9
Barley Brown's Brewpub,4,4,4,American Double / Imperial IPA,5,Head Shake,8.75
Barley Brown's Brewpub,4.5,4.5,4.5,American Double / Imperial Stout,4.5,Havoc Imperial Stout,9.5
Barley Brown's Brewpub,4,3.5,4.5,American Barleywine,4,Double Whiskey,9.5
Barley Brown's Brewpub,4.5,5,4,American Black Ale,4.5,Turmoil Black IPA,
Traverse Brewing Company,4.5,4,4.5,Foreign / Export Stout,4.5,Traverse Brewing Company Stout,6.5
Mammoth Brewing Company,4,4.5,4,American Double / Imperial Stout,4,2010 Bluesapalooza,9
The Grumpy Troll Restaurant and Brewery,4,3.5,4,Baltic Porter,3.5,Amnesia,
The Grumpy Troll Restaurant and Brewery,4.5,4.5,4,Foreign / Export Stout,4.5,Bourbon Barrel Aged Spetsnaz,
The Grumpy Troll Restaurant and Brewery,4.5,4.5,4,Baltic Porter,4,Bourbon Barrel Aged Amnesia,
The Grumpy Troll Restaurant and Brewery,4,3.5,4,American Wild Ale,3.5,Ginger Tart,
The Grumpy Troll Restaurant and Brewery,4,4,4,American Wild Ale,4.5,Grumpy Raspberry,10
The Grumpy Troll Restaurant and Brewery,4.5,4.5,4,American Wild Ale,4.5,Grumpy Peach,10
The Grumpy Troll Restaurant and Brewery,4.5,4,4,American Wild Ale,4,Sunshine,7
The Grumpy Troll Restaurant and Brewery,4,3.5,4,American Double / Imperial IPA,4,Maggie,9
The Grumpy Troll Restaurant and Brewery,5,4,3.5,American Wild Ale,4.5,Grumpy Cherry Brew,
East End Brewing Company,4,4.5,4.5,American Barleywine,4.5,Gratitude,11.5
East End Brewing Company,4.5,4.5,4.5,American Double / Imperial Stout,4,Toaster - 4th Anniversary Imperial Stout,
East End Brewing Company,4.5,4,4,Belgian IPA,4.5,Bouillon De Houblon,
East End Brewing Company,4.5,4.5,4,American Black Ale,4,Steelcut Oatmeal Stout/Black IPA,
Flour City Brewing Co.,4.5,4.5,4.5,American Double / Imperial IPA,4.5,44 Magnum,8.1
Boquébière,4,3.5,4,Quadrupel (Quad),3.5,Réserve Abt,10.6
Boquébière,4,2.5,3.5,American Wild Ale,3.5,Blonde Spéciale Triple Brett,7
Skagit River Brewery,4.5,4.5,4.5,Russian Imperial Stout,4.5,Trumpeter Imperial Stout,
Skagit River Brewery,4,4.5,3.5,American Barleywine,4.5,"2  Penny Ale, Bourbon Barrel Aged",13
Skagit River Brewery,4,3.5,4,American Double / Imperial IPA,4,Reverend's Double IPA,9.2
Skagit River Brewery,4,4,4,American Barleywine,4,Shiver Me Liver,10
Hop Valley Brewing Company,4,3.5,4,American Black Ale,4,Cascadian Noir,5.9
Hop Valley Brewing Company,4,4,4,American Double / Imperial IPA,4.5,Alpha Centauri Binary IPA,8.7
New England Brewing Co.,4,4.5,4.5,Russian Imperial Stout,4.5,Cherry Vanilla Infused Imperial Stout Trooper,8.5
New England Brewing Co.,4.5,4,5,American Double / Imperial Stout,4,Coffee Infused Imperial Stout Trooper,8.5
Flying Dog Brewery,4,4,4,Baltic Porter,3.5,Wild Dog Barrel-Aged Gonzo Imperial Porter,9.5
New England Brewing Co.,4,4,4,American Double / Imperial IPA,4,East Coast Double IPA,
Flying Dog Brewery,4,4,3,Weizenbock,4,Wild Dog Weizenbock,8.6
Flying Dog Brewery,4,4.5,4.5,American Double / Imperial Stout,4,Kujo Imperial Coffee Stout,8.9
Flying Dog Brewery,4,4.5,4,American Double / Imperial IPA,4,Wild Dog Double Pale Ale,9
Flying Dog Brewery,4,4.5,4,Baltic Porter,4,Gonzo Imperial Porter,9.2
Flying Dog Brewery,4.5,5,5,Belgian IPA,4.5,In De Wildeman Farmhouse IPA,7.5
Old Harbor Brewery Steak & Lobster House,4,4,3.5,American Double / Imperial Stout,3.5,Visitante 212,
Engine House No.9,4,3,4,American Wild Ale,4,Love Child Kriek,5.9
Engine House No.9,4.5,4,4,American Barleywine,4.5,Old Dickens,16
Wormtown Brewing Co.,4,3.5,4.5,American Double / Imperial IPA,3.5,F-U Double IPA,10.1
Wormtown Brewing Co.,4.5,4.5,4,American Black Ale,4.5,Dark Day IPA,6.2
Wormtown Brewing Co.,4.5,4,2.5,Weizenbock,4.5,"""Woosta"" Weizenbock",8.2
Wormtown Brewing Co.,5,5,5,American Double / Imperial Stout,5,Tennessee Tat's,9.1
Wormtown Brewing Co.,4,4,4.5,American Barleywine,4.5,Beer Goggles Barleywine,10
Wormtown Brewing Co.,4.5,4.5,5,American Double / Imperial IPA,4.5,Birthday Brew #1,9
The Olde Burnside Brewing Company,4.5,4.5,3.5,American Wild Ale,5,Highland Wild Ale,10
Nimbus Brewing Company,4,4,4,Russian Imperial Stout,4.5,Nimbus Imperial Stout,12
Atwater Block Brewery,4,4,4,Weizenbock,4,Teufel Bock,10.9
Atwater Block Brewery,4.5,4.5,4.5,Russian Imperial Stout,4.5,Atwater VJ Black,11
Atwater Block Brewery,4,4.5,4,American Double / Imperial IPA,4,Atwater Conniption Fit Double IPA,8
the Nils Oscar Company,4,3.5,3.5,Russian Imperial Stout,4,Nils Oscar Imperial Stout,7
North End Tavern & Brewery,4.5,4,3.5,American Double / Imperial IPA,4.5,Five Way IPA,8
Pittsfield Brew Works,5,4.5,4,American Barleywine,4.5,Bees Knees Barleywine,11.2
Pittsfield Brew Works,4,4,4,Russian Imperial Stout,4,GerryBaum Imperial Stout,9.2
Pittsfield Brew Works,4,4,4,Foreign / Export Stout,4,Gerry Dog Stout,6.3
Boston Beer Company (Samuel Adams),4,5,4.5,Bière de Champagne / Bière Brut,4,Infinium,10.3
Boston Beer Company (Samuel Adams),4,4,4.5,American Double / Imperial IPA,4.5,LongShot Double IPA,9.6
Boston Beer Company (Samuel Adams),4,4,4,American Wild Ale,4,Samuel Adams Kosmic Mother Funk,10
Boston Beer Company (Samuel Adams),4,4,4,Belgian IPA,4,Longshot Friar Hop Ale,9
Boston Beer Company (Samuel Adams),4,4,4,Belgian IPA,4.5,Samuel Adams Sample A - Belgian IPA,
Boston Beer Company (Samuel Adams),4,3.5,4.5,American Double / Imperial IPA,4,Third Voyage Double IPA,8
Barley John's Brew Pub,4.5,3.5,4.5,Baltic Porter,4.5,Old Eight Porter,8
Brasserie Des Vignes,4,4,4,Gueuze,4,Bulles De Vignes #1,6
Boston Beer Company (Samuel Adams),4.5,4,4,American Barleywine,4,LongShot Mile High Barley Wine Ale,9.8
Hopworks Urban Brewery,4.5,4.5,4.5,American Double / Imperial IPA,4.5,Evelyn's Imperial Sunshine,7.2
Brasserie de Rochefort,4.5,5,5,Quadrupel (Quad),5,Trappistes Rochefort 10,11.3
Skull Coast Brewing Company,4,4,4,American Double / Imperial IPA,4.5,Doubloon Double Pale Ale,8.5
Rock Art Brewery,4,2,4,American Barleywine,4,Vermonster,10
Sheepscot Valley Brewing Company,4,4,4,American Double / Imperial IPA,4,Tinky Winky Double IPA,8.5
Bootlegger's Brewery,4,4,3.5,American Wild Ale,4,Lambic #1 With Kombucha Cultures,
Bootlegger's Brewery,4,4.5,4,American Barleywine,4.5,77 Anniversary Ale (Dry-Hopped),7.7
Bootlegger's Brewery,4,5,3,American Wild Ale,5,Lambic #4,
Bootlegger's Brewery,4.5,4.5,4,American Double / Imperial Stout,4.5,Imperial Phoenix (Bourbon Barrel Aged),10
Bootlegger's Brewery,4.5,4.5,4,American Wild Ale,4.5,Blackberry Mother Pucker,5
Bootlegger's Brewery,4.5,4,4,American Wild Ale,4.5,Lambic #2,5
Bootlegger's Brewery,4.5,4.5,3.5,Lambic - Unblended,4.5,Fresh Lambic,5.5
Bootlegger's Brewery,4.5,4,3.5,American Wild Ale,4.5,Lambic #1,
Bootlegger's Brewery,4.5,4,4,American Wild Ale,4,Olallieberry Lambic,5.1
Bootlegger's Brewery,4,4.5,4.5,American Wild Ale,4,Knott Sour Lambic,
Bootlegger's Brewery,4.5,4,4,American Double / Imperial Stout,4.5,Imperial Phoenix,10
Bootlegger's Brewery,4,4,4,American Wild Ale,4,Lambic #5,
Bootlegger's Brewery,4.5,4,4,American Wild Ale,4.5,Lambic #3,5
Bootlegger's Brewery,4,4,4,American Wild Ale,4,76 Barrel Aged Sour With Cherries,7.6
Bootlegger's Brewery,4,4.5,3,American Wild Ale,3.5,Bluebonic Funk,5
Bootlegger's Brewery,4,3.5,3.5,Quadrupel (Quad),3.5,Quadruped,
Bootlegger's Brewery,4,3.5,3.5,American Wild Ale,4,My Cherry Amour,
Bee Creek Brewery,4.5,4,4,Weizenbock,4,Hoosier Honey Wheat,7.5
Bee Creek Brewery,4.5,4.5,4,American Double / Imperial IPA,4.5,Happy Jesus Double IPA,8.2
Freetail Brewing Company,4,4.5,4,American Double / Imperial IPA,4.5,Hopothesis A.,12.4
John Harvard's Brewery & Ale House,4.5,4,4,American Double / Imperial IPA,4,Demon DPA,8
Tampa Bay Brewing Co.,4,4.5,4,American Double / Imperial IPA,4,Old Stumpy Double IPA,8.7
Tampa Bay Brewing Co.,4.5,4,4,American Barleywine,4.5,Moosekiller Barley Wine Style Ale,9.8
Tampa Bay Brewing Co.,4,4.5,4,Russian Imperial Stout,4,Iron Rat Imperial Stout,8
Milwaukee Ale House,4,4.5,3.5,Weizenbock,4.5,Weizen Bock,6
Milwaukee Ale House,4,3.5,4.5,Baltic Porter,4,Honey Porter,5.1
Milwaukee Ale House,5,4.5,5,Weizenbock,5,Honey Wheat Bock,4.8
Smog City Brewing,4,4,4,American Double / Imperial Stout,4,The Nothing,10
Barley John's Brew Pub,4,4,4,Baltic Porter,4,Alfred's Porter,14
Barley John's Brew Pub,4,4,4,American Double / Imperial IPA,4.5,Double IPA Version 2,9.5
Harvey & Son Ltd.,5,4.5,4,Russian Imperial Stout,4.5,Harvey's Bicentenary Stout,8
Almanac Beer Co.,4,4,4,American Wild Ale,4.5,Summer 2010 Vintage - Blackberry (Sour Barrel #9),9
Brasserie Des Vignes,4,5,4.5,Gueuze,4.5,La Vente D'Ange,6
Brasserie Des Vignes,4,4,2.5,Gueuze,4.5,Bulles De Vignes  Cuvee 2011,6
Rock Art Brewery,4,4,4,American Double / Imperial Stout,4,Pumpkin Imperial Spruce Stout,8
Rock Art Brewery,4,4,4,American Double / Imperial IPA,3.5,Rock Art IPA (II),8
Rock Art Brewery,4,4.5,4,American Black Ale,4.5,Black Moon IPA,10
Corner Brewery & Beer Garden,4.5,4,3.5,American Wild Ale,4.5,Wild Red Ale,
Elk Head Brewing Company,4.5,5,3.5,American Double / Imperial Stout,5,Royal Black,11.5
Elk Head Brewing Company,4,4,3.5,American Barleywine,4,Back Track,9.5
Red Star Brewery & Grill,4,3.5,4.5,Russian Imperial Stout,4,Derailed Imperial Stout,8
Red Star Brewery & Grill,4.5,4.5,4.5,American Double / Imperial IPA,5,Formula 48 IPA,7.5
Full Circle Brewing Co.,5,4,4.5,Flanders Red Ale,4.5,Sour Mash Red,5.8
Kern River Brewing Company,5,5,5,American Double / Imperial Stout,5,Bourbon Barrel Aged Stout,10
Kern River Brewing Company,4.5,4.5,4,American Double / Imperial IPA,4.5,5th Anniversary Ale,8
Kern River Brewing Company,5,4.5,5,American Double / Imperial Stout,5,Class X (Bourbon Barrel Aged Class V),
Kern River Brewing Company,4,4,4,American Double / Imperial IPA,4,Citra DIPA,8
Kern River Brewing Company,4.5,4,4,Belgian IPA,4,2nd Anniversary Ale,9.2
Kern River Brewing Company,4,4,4.5,American Double / Imperial Stout,4.5,Class V Stout,8.5
Freetail Brewing Company,4.5,4,3,American Wild Ale,4.5,Ananke,5.8
Freetail Brewing Company,4,4,4,American Wild Ale,4,Self ReGarde,
Freetail Brewing Company,4,4,4,American Wild Ale,4,Bandito,6
Freetail Brewing Company,4.5,4,4,American Wild Ale,3.5,Solera (All Batch Numbers),
Freetail Brewing Company,4,4,4,American Wild Ale,3.5,Figgy Wood'n,
Freetail Brewing Company,4,4,4,American Wild Ale,4,Solera Fin,
Freetail Brewing Company,4.5,4,4.5,American Wild Ale,5,Ate,
Freetail Brewing Company,4,4.5,4,American Wild Ale,4.5,Peche'cus,
Freetail Brewing Company,4,4,4,American Double / Imperial Stout,4,Bourbon Barrel La Muerta,11.4
Freetail Brewing Company,4.5,5,4.5,American Wild Ale,4.5,Fortuna Roja,6.9
Freetail Brewing Company,4,4,3.5,American Black Ale,4.5,Tadarida Obscura,
Freetail Brewing Company,4,4,3.5,American Wild Ale,4,Brettanolocator,
Freetail Brewing Company,4,4,4,American Double / Imperial IPA,4,Hopothesis E,
Freetail Brewing Company,4,4,4,American Double / Imperial IPA,4,Phantom Of The Hopera,9.6
Big Al Brewing,4,3.5,3.5,American Wild Ale,4,Super Kriek,
Big Al Brewing,4,3.5,4,American Black Ale,4,Hop Villian,
Big Al Brewing,4,3.5,3,Flanders Red Ale,4,Sourlicious,5.5
John Harvard's Brewery & Ale House,4.5,3.5,4,American Barleywine,4,California Stars,
John Harvard's Brewery & Ale House,4.5,3.5,4,American Double / Imperial Stout,4.5,Ace Of Spades Double Stout,6.9
John Harvard's Brewery & Ale House,4,4,3.5,Weizenbock,4.5,Presidential Weizenbock,
John Harvard's Brewery & Ale House,4,4,4,American Double / Imperial IPA,4,Sucker-Punch IPA,6.7
John Harvard's Brewery & Ale House,4,4.5,4,American Barleywine,4.5,McConnell's Revenge,9.6
John Harvard's Brewery & Ale House,4,4,4,Flanders Red Ale,4.5,Oak Aged Kripple Kriek,
John Harvard's Brewery & Ale House,4,4.5,4.5,American Double / Imperial IPA,5,IPA Lot #1,10.7
John Harvard's Brewery & Ale House,4.5,4,4.5,Russian Imperial Stout,4.5,Kerensky's Imperial Stout,8
John Harvard's Brewery & Ale House,4,3.5,4.5,American Black Ale,3.5,Blackout IPA,
John Harvard's Brewery & Ale House,5,4.5,4.5,American Barleywine,4.5,Skull Sealer Barleywine,10
John Harvard's Brewery & Ale House,4,4.5,4,American Barleywine,4,Double Deuce Barley Wine,11
John Harvard's Brewery & Ale House,4.5,5,5,American Double / Imperial Stout,4.5,Whiskey Barrel Imperial Stout,
John Harvard's Brewery & Ale House,4,3.5,4,American Black Ale,4,Black Hole IPA,
John Harvard's Brewery & Ale House,4.5,4,3.5,American Double / Imperial Stout,4,Friar Lawrence's Potion,8.6
John Harvard's Brewery & Ale House,4,4,3.5,American Barleywine,4.5,The Big 4-2 Barleywine,9.2
John Harvard's Brewery & Ale House,4,3.5,4.5,American Double / Imperial Stout,3.5,Midnight Oil,
John Harvard's Brewery & Ale House,4,3.5,3.5,Belgian IPA,4,Hop Magic,
John Harvard's Brewery & Ale House,4,4,4,American Barleywine,4,The Big 4-0 Barleywine,8.7
John Harvard's Brewery & Ale House,4,4,4.5,Russian Imperial Stout,4.5,Mid Winter Imperial Stout,
John Harvard's Brewery & Ale House,4,3.5,4,Foreign / Export Stout,4,XX Export Stout,
John Harvard's Brewery & Ale House,4,4,4,Russian Imperial Stout,4,Midwinter's Imperial Stout,9
John Harvard's Brewery & Ale House,5,4,4,Weizenbock,4,Winter Wheat Bock,7
John Harvard's Brewery & Ale House,4.5,4.5,4,American Double / Imperial IPA,4.5,King Hop-Kick Double IPA,7.5
John Harvard's Brewery & Ale House,4.5,3.5,4.5,American Double / Imperial IPA,4,Scousers,
John Harvard's Brewery & Ale House,4.5,4,5,American Double / Imperial Stout,4.5,XO Stout,
Hopfenstark,4.5,4.5,4.5,Baltic Porter,4.5,Baltic Porter De L'Ancrier,8
Hopfenstark,4.5,4.5,4,American Double / Imperial Stout,4.5,Kamarad Bourbon,12
Hopfenstark,4,5,3.5,American Barleywine,3.5,Captain Swing Bourbon Barrel Aged,10
Hopfenstark,4,4,3.5,American Double / Imperial Stout,4,Kamarad Friedrich - 5 Star Edition Oak Aged,11
Hopfenstark,4,4,5,American Double / Imperial Stout,4.5,Kamarad Friedrich,11
Hopfenstark,4,4,3.5,American Barleywine,3.5,Captain Swing,9
Hopfenstark,5,4,4,Baltic Porter,5,Baltic Porter De L'Ancrier With Maple Syrup,8
Draught Microbrewery Bar & Grill,4,4.5,4,Weizenbock,4.5,Draught Wheat,
Oggi's Pizza & Brewing Co.,4,4.5,4,American Double / Imperial IPA,4.5,IPA 271,8.3
Oggi's Pizza & Brewing Co.,4,4,4,American Double / Imperial IPA,4.5,Hopnoxious,10
Hopworks Urban Brewery,4.5,4.5,4.5,American Double / Imperial IPA,5,Ace Of Spades,9.2
Oggi's Pizza & Brewing Co.,4,4,4,American Black Ale,4,India Black Ale,7.3
Hopworks Urban Brewery,4,4,4.5,American Double / Imperial IPA,4,Galactic Imperial Red,9.3
Hopworks Urban Brewery,4,4,3.5,Baltic Porter,4.5,Kronan The Bourbarian,9.2
Hopworks Urban Brewery,4.5,4,3.5,Baltic Porter,4,Kronan The Barbarian,8.5
Hopworks Urban Brewery,4.5,4.5,4.5,American Double / Imperial Stout,4.5,Brouwer's Cafe 6th Anniversary,
